,,timestamp,tweet
2493,jennablan,11/10/2019,"RT @tpetruno: A tie at the top! The five biggest stocks by market value (Yahoo data):

Apple $AAPL $1.067 trillion
Microsoft $MSFT $1.067 t…"
2495,jennablan,11/10/2019,"RT @GreekFire23: APPLE SHARES SET INTRADAY RECORD HIGH ABOVE $233.47. I’m up 41% since I bought Apple stock earlier this year, not bad for…"
2520,jennablan,10/10/2019,"RT @tpetruno: Apple $AAPL on verge of new all-time high. Shares +$3.06, +1.4% to $230.09. Peak was $232.07 on Oct. 3, 2018. Current mkt val…"
2542,jennablan,10/10/2019,"RT @FinancialTimes: Apple has removed a mapping application from its App Store that was used by Hong Kong protesters, which crowdsources re…"
2561,jennablan,9/10/2019,"A Senate investigation of Russia’s social-media influence criticized U.S. tech giants, with new attention on Google… https://t.co/Ive80mYkjM"
2640,jennablan,5/10/2019,RT @FinancialTimes: Faangs lose their bite as investors opt for safer stocks https://t.co/KoTnVmiucA
2659,jennablan,4/10/2019,Apple raises iPhone 11 production by about 10%: Nikkei https://t.co/N58xMiQ2la
2689,jennablan,3/10/2019,"RT @FinancialTimes: PayPal is about to quit Facebook’s Libra project, said people familiar with the matter. All backers of Facebook’s digit…"
2741,jennablan,2019-22-09 03:01:55,RT @BillGates: The docuseries about my life and work is out today. I hope you’ll check it out on @netflix — and then read some of the stori…
2790,jennablan,2019-18-09 01:15:54,New Zealand to be Middle-earth again in Amazon's The Lord of the Rings series https://t.co/nNRT5OLDMl
2833,jennablan,2019-16-09 18:48:50,"Amazon changed its powerful search system in a way that boosts the company’s own products, a move opposed by its ow… https://t.co/NC8zTnxVl0"
2916,jennablan,11/9/2019,"RT @ReformedBroker: Apple unveils new $6,000 Tariff Phone"
2933,jennablan,10/9/2019,"Apple reveals triple-camera iPhone, undercuts Disney streaming TV price via ⁦@StephenNellis⁩ ⁦@randewich⁩  https://t.co/5JblMZCg0s"
2955,jennablan,10/9/2019,Apple to reveal streaming service prices while iPhones on 'holding pattern' until 5G via ⁦@StephenNellis⁩  https://t.co/XoOtTBv4hN
2996,jennablan,6/9/2019,Amazon's 'Jack Ryan' TV series lambasted for promoting Venezuela 'invasion' https://t.co/dYlBRngdgx
3032,jennablan,5/9/2019,Apple places $7 billion in return to bond market https://t.co/HrhjhFQMLV
3047,jennablan,4/9/2019,F.T.C. Fines Google $170 Million for Violating Children’s Privacy on YouTube https://t.co/J4sk7NRn3H
